BlowingDust           , 扬尘
Clear                 , 晴朗无云
Cloudy                , 多云
Foggy                 , 雾
Haze                  , 霾
MostlyClear           , 大部晴朗无云
MostlyCloudy          , 大部多云
PartlyCloudy          , 局部多云
Smoky                 , 有烟雾
Breezy                , 微风
Windy                 , 大风
Drizzle               , 细雨
HeavyRain             , 小雨
IsolatedThunderstorms , 雷阵雨
Rain                  , 雨
SunShowers            , 晴间阵雨
ScatteredThunderstorms, 零星雷阵雨
StrongStorms          , 强雷暴
Thunderstorms         , 雷暴
Frigid                , 严寒
Hail                  , 冰雹
Hot                   , 高温
Flurries              , 小雪
Sleet                 , 雨夹雪
Snow                  , 雪
SunFlurries           , 晴间阵雪
WintryMix             , 混合雨雪
Blizzard              , 暴风雪
BlowingSnow           , 风吹雪
FreezingDrizzle       , 冻细雨
FreezingRain          , 冻雨
HeavySnow             , 大雪
Hurricane             , 飓风
TropicalStorm         , 热带风暴
