BlowingDust           , 揚塵
Clear                 , 晴朗無雲
Cloudy                , 多雲
Foggy                 , 霧
Haze                  , 霾
MostlyClear           , 大部晴朗無雲
MostlyCloudy          , 大部多雲
PartlyCloudy          , 局部多雲
Smoky                 , 有煙霧
Breezy                , 微風
Windy                 , 大風
Drizzle               , 細雨
HeavyRain             , 暴雨
IsolatedThunderstorms , 雷陣雨
Rain                  , 雨
SunShowers            , 晴間陣雨
ScatteredThunderstorms, 零星雷陣雨
StrongStorms          , 強雷暴
Thunderstorms         , 雷暴
Frigid                , 嚴寒
Hail                  , 冰雹
Hot                   , 高溫
Flurries              , 小雪
Sleet                 , 雨夾雪
Snow                  , 雪
SunFlurries           , 晴間陣雪
WintryMix             , 混合雨雪
Blizzard              , 暴風雪
BlowingSnow           , 風吹雪
FreezingDrizzle       , 凍細雨
FreezingRain          , 凍雨
HeavySnow             , 大雪
Hurricane             , 颶風
TropicalStorm         , 熱帶風暴
